,importance
ssl_final_state,0.3036102346044252
url_of_anchor,0.24179745734769933
web_traffic,0.07428336152067963
having_sub_domain,0.06513283801504854
prefix_suffix,0.04575769223698458
links_in_tags,0.044152944600607244
request_url,0.02263971341358208
server_form_handler,0.021674645569758698
links_pointing_to_page,0.01966192167850494
domain_registration_length,0.016973133622552445
age_of_domain,0.015996685611863275
having_ip_address,0.01391687321160108
google_index,0.013474317713408655
dns_record,0.012881175386256681
page_rank,0.012447967278737787
url_length,0.009166305078012615
https_token,0.005943588242005787
redirect,0.005766878143081438
submitting_to_email,0.005765025721305339
popup_window,0.005671335784988597
statistical_report,0.005664834120125392
shortening_service,0.005638119555237847
having_at_symbol,0.00548843107092815
abnormal_url,0.005292122642629911
favicon,0.004809129221357357
on_mouseover,0.004390279113558806
double_slash_redirecting,0.004223431788168696
port,0.0032661446963471717
iframe,0.002802133344253187
rightclick,0.0017112796662896552
